duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_p,resp_p,proto,service,conn_state,label,detailed_label
0.09084469696321254,131.66346312363257,0.0,3,0,48215,22,icmp,ssh,S0,Malicious,Mirai
0.03503557475158312,1187.5852819727231,45.30525614065048,73,3,40212,80,icmp,dhcp,RSTR,Malicious,DDoS
1.7211149627697075,255.33082150746446,53.90206989410221,4,1,1213,8080,tcp,ssl,SF,Malicious,PartOfAHorizontalPortScan
0.23781924878204272,36.15069951143441,46.946395172951455,4,2,59731,23,icmp,ssl,SF,Malicious,C&C
2.4801826802468194,110.86422453549208,261.41595257621896,2,1,54019,8080,tcp,ssh,SH,Malicious,C&C
5.610188838583165,770.3795750477055,4137.957030301318,18,5,9553,2323,udp,dns,RSTO,Benign,None
3.91203541603873,30.468878525532556,205.22028627404117,3,1,59863,2323,tcp,ssl,RSTO,Malicious,PartOfAHorizontalPortScan
0.0931302787993573,162.23352577681734,0.0,2,0,27878,443,icmp,ssh,S0,Malicious,Mirai
0.803637602502602,918.0647103645568,1610.7014349312558,25,5,64359,8080,icmp,http,RSTO,Benign,None
0.18899049047300434,131.324743181759,0.0,2,0,26470,53,icmp,-,S0,Malicious,Mirai
0.5708371759593291,325.12450057103405,161.91104317969672,3,2,19165,22,udp,dns,RSTO,Malicious,C&C
0.5196103138347881,150.26961070525275,2168.428232852361,5,21,3717,23,tcp,ssh,RSTR,Benign,None
0.003920727193329705,1315.8186652932027,46.72374816721997,71,0,31104,80,udp,dhcp,REJ,Malicious,DDoS
0.0006976409181650647,132.76803891503343,0.0,4,0,6554,80,tcp,http,S0,Malicious,Mirai
0.0279879951307172,140.33754642497414,0.0,4,0,4328,23,icmp,dns,S0,Malicious,Mirai
0.02900612949922053,138.60343303203192,0.0,2,0,24962,80,udp,ssl,S0,Malicious,Mirai
7.511317198203795,705.0255031042831,2627.406119728358,26,3,47741,443,tcp,ssh,SF,Benign,None
2.3074356375793013,307.30265662902667,79.9123684283481,4,2,24533,53,udp,ssl,REJ,Malicious,PartOfAHorizontalPortScan
0.007096806618926841,1278.9672804750671,54.31489463263042,68,3,7570,443,tcp,http,RSTO,Malicious,DDoS
5.8710626378385955,276.04067166392167,126.35085783131244,3,1,40408,443,icmp,ssl,SF,Malicious,C&C
0.9615863015836068,150.3602226939364,216.53876661123476,3,3,30879,53,udp,ssh,RSTO,Malicious,PartOfAHorizontalPortScan
2.588930859454236,2033.7585152841261,18501.483470944175,10,29,49378,8080,tcp,ssh,REJ,Benign,None
0.07956978461389318,170.9869478464173,0.0,1,0,29667,80,tcp,dns,S0,Malicious,Mirai
0.9128920118022567,4126.173163118891,10947.25751325188,20,19,42938,53,udp,-,RSTO,Benign,None
19.290719126947874,22.499024533735547,368.895061897824,3,1,33376,23,udp,dhcp,SH,Malicious,PartOfAHorizontalPortScan
0.06915352402036522,133.0528494377471,0.0,4,0,38434,80,tcp,ssl,S0,Malicious,Mirai
4.927019769267683,968.6153826032727,9049.920271911296,5,27,51156,2323,udp,-,SH,Benign,None
1.0040339574543695,348.0269875417764,23966.30686208747,4,5,46041,80,icmp,dns,SF,Benign,None
0.035170182136291576,118.97132111818695,0.0,4,0,9740,23,icmp,dhcp,S0,Malicious,Mirai
0.007358294369751587,139.79013560844808,0.0,2,0,5519,8080,tcp,ssl,S0,Malicious,Mirai
0.4934801959368028,91.34435194445085,161.07565144686478,9,1,51324,8080,icmp,ssl,S0,Malicious,C&C
8.64675684769068,60.75684351755361,106.18498903225857,6,2,4075,23,tcp,ssl,S0,Malicious,PartOfAHorizontalPortScan
0.005299301333993762,1123.4490634192662,54.22313761664064,25,4,38257,23,udp,-,RSTO,Malicious,DDoS
6.813722112964472,71.329343938652,83.23959083565376,3,1,35723,22,tcp,ssh,RSTO,Malicious,C&C
0.5483141885069635,1317.9799656917526,7092.872621121424,63,16,17988,8080,udp,http,S0,Benign,None
